                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
149,1.0276,0.56892,0.84078,0.81223,0.792,0.82288,0.40783,1.6893,0.88936,0.96186,0.000232,0.000232,0.000232
148,1.0294,0.57805,0.83647,0.81552,0.79699,0.82238,0.40559,1.6938,0.89119,0.96238,0.000298,0.000298,0.000298
147,1.0421,0.58785,0.84628,0.79851,0.80376,0.82077,0.40815,1.6836,0.88423,0.96082,0.000364,0.000364,0.000364
146,1.0146,0.57636,0.83497,0.79228,0.80563,0.82015,0.40797,1.6917,0.88566,0.96283,0.00043,0.00043,0.00043
145,1.0214,0.58065,0.84121,0.81172,0.80282,0.81986,0.40658,1.6885,0.89651,0.9641,0.000496,0.000496,0.000496
144,1.0275,0.58207,0.83768,0.81178,0.79437,0.81925,0.40528,1.6849,0.87448,0.96433,0.000562,0.000562,0.000562
143,1.0691,0.59634,0.84621,0.80628,0.80895,0.81634,0.40574,1.6814,0.8833,0.96436,0.000628,0.000628,0.000628
142,1.0619,0.59942,0.83626,0.81251,0.79718,0.8163,0.40223,1.6891,0.89074,0.96354,0.000694,0.000694,0.000694
141,1.0605,0.58771,0.8489,0.7974,0.80563,0.81486,0.40671,1.6921,0.90057,0.96587,0.00076,0.00076,0.00076
140,1.0902,0.60996,0.84901,0.79695,0.79603,0.81381,0.40816,1.6867,0.86215,0.96262,0.000826,0.000826,0.000826
139,1.0887,0.61601,0.84066,0.817,0.78592,0.81218,0.40498,1.6897,0.87046,0.96351,0.000892,0.000892,0.000892
138,1.1035,0.6052,0.84507,0.80924,0.79155,0.81124,0.40051,1.681,0.87167,0.96077,0.000958,0.000958,0.000958
137,1.0893,0.62474,0.84903,0.80757,0.7684,0.81114,0.39761,1.6947,0.88886,0.9628,0.001024,0.001024,0.001024
136,1.0989,0.62402,0.84769,0.7779,0.78931,0.80942,0.39552,1.6939,0.88569,0.96548,0.00109,0.00109,0.00109
135,1.0973,0.61607,0.83909,0.79161,0.78592,0.80911,0.39863,1.6915,0.88904,0.96774,0.001156,0.001156,0.001156
134,1.1112,0.63011,0.84808,0.78367,0.80845,0.80866,0.40334,1.6614,0.86809,0.95842,0.001222,0.001222,0.001222
133,1.1244,0.6365,0.85131,0.83145,0.77814,0.80859,0.40043,1.6706,0.88902,0.95578,0.001288,0.001288,0.001288
132,1.1388,0.65312,0.85329,0.8231,0.77746,0.80668,0.40206,1.6767,0.89848,0.95898,0.001354,0.001354,0.001354
131,1.126,0.63519,0.85644,0.79443,0.78592,0.80602,0.39838,1.6693,0.89131,0.95478,0.00142,0.00142,0.00142
130,1.1383,0.63565,0.85738,0.80174,0.79155,0.80542,0.39695,1.6907,0.89526,0.96171,0.001486,0.001486,0.001486
129,1.1582,0.6548,0.85685,0.79922,0.77367,0.80535,0.38679,1.6904,0.89235,0.96131,0.001552,0.001552,0.001552
128,1.1582,0.6659,0.85815,0.83685,0.77746,0.80509,0.38943,1.6801,0.90064,0.96275,0.001618,0.001618,0.001618
127,1.1629,0.65486,0.85774,0.80299,0.78073,0.80461,0.39203,1.682,0.89377,0.95891,0.001684,0.001684,0.001684
126,1.1493,0.65279,0.84939,0.80197,0.79155,0.80415,0.39501,1.687,0.89234,0.96121,0.00175,0.00175,0.00175
125,1.1951,0.67408,0.86003,0.79425,0.79382,0.80289,0.39109,1.6887,0.90863,0.96158,0.001816,0.001816,0.001816
124,1.1735,0.67138,0.85916,0.82734,0.78285,0.80151,0.38599,1.6769,0.89352,0.95378,0.001882,0.001882,0.001882
123,1.1989,0.68169,0.86269,0.8016,0.77465,0.80114,0.38647,1.6876,0.90382,0.95683,0.001948,0.001948,0.001948
122,1.1645,0.66616,0.85502,0.80452,0.77465,0.79853,0.38713,1.7054,0.89465,0.96479,0.002014,0.002014,0.002014
121,1.2111,0.67193,0.86171,0.81516,0.75493,0.79838,0.38781,1.6935,0.91215,0.966,0.00208,0.00208,0.00208
120,1.192,0.67918,0.86074,0.80762,0.75775,0.79815,0.37861,1.693,0.89011,0.96341,0.002146,0.002146,0.002146
119,1.205,0.69082,0.8666,0.81036,0.75211,0.7977,0.37667,1.6894,0.91264,0.96823,0.002212,0.002212,0.002212
118,1.2352,0.7112,0.86849,0.79537,0.7831,0.79745,0.38565,1.718,0.91615,0.96485,0.002278,0.002278,0.002278
117,1.2303,0.68717,0.86607,0.84115,0.73091,0.79741,0.38144,1.6813,0.92562,0.96074,0.002344,0.002344,0.002344
116,1.2184,0.69188,0.86185,0.81815,0.76038,0.79688,0.38745,1.6708,0.94485,0.95973,0.00241,0.00241,0.00241
115,1.2653,0.71289,0.87421,0.82206,0.77465,0.79605,0.38471,1.6708,0.93213,0.96719,0.002476,0.002476,0.002476
114,1.2319,0.6972,0.87124,0.81867,0.72394,0.79364,0.37263,1.6917,0.96449,0.95884,0.002542,0.002542,0.002542
113,1.2713,0.71586,0.86871,0.82576,0.76092,0.79339,0.38161,1.6816,0.89729,0.96193,0.002608,0.002608,0.002608
112,1.2667,0.72263,0.87722,0.85449,0.71131,0.79198,0.38669,1.7001,0.93319,0.97354,0.002674,0.002674,0.002674
111,1.2962,0.73025,0.87587,0.78758,0.78028,0.79111,0.37757,1.7144,0.91873,0.97154,0.00274,0.00274,0.00274
110,1.2936,0.73888,0.87085,0.79808,0.75708,0.78996,0.37555,1.7114,0.95591,0.96653,0.002806,0.002806,0.002806
109,1.2881,0.73125,0.8739,0.79062,0.76338,0.78968,0.37175,1.7061,0.95703,0.96297,0.002872,0.002872,0.002872
108,1.3001,0.74035,0.87359,0.79785,0.77465,0.78883,0.3711,1.7206,0.988,0.96253,0.002938,0.002938,0.002938
107,1.3034,0.75152,0.87876,0.80477,0.75493,0.78532,0.37313,1.7159,0.94923,0.96431,0.003004,0.003004,0.003004
106,1.3051,0.7508,0.88031,0.81079,0.75775,0.7832,0.3647,1.7353,0.97273,0.96988,0.00307,0.00307,0.00307
105,1.3304,0.77528,0.87775,0.78895,0.7662,0.78303,0.36071,1.7376,0.97712,0.98241,0.003136,0.003136,0.003136
104,1.355,0.7668,0.88075,0.75403,0.78873,0.7814,0.36873,1.7325,1.0057,0.96919,0.003202,0.003202,0.003202
103,1.3113,0.74046,0.88373,0.78301,0.75211,0.77967,0.35804,1.7278,1.0218,0.97128,0.003268,0.003268,0.003268
102,1.3321,0.76503,0.89394,0.77314,0.7662,0.7752,0.36631,1.7029,1.0174,0.95979,0.003334,0.003334,0.003334
101,1.334,0.77575,0.8887,0.78514,0.7662,0.77501,0.35228,1.7633,0.99175,0.97982,0.0034,0.0034,0.0034
100,1.3624,0.78414,0.89604,0.78738,0.71549,0.77477,0.34414,1.7611,0.99457,0.98661,0.003466,0.003466,0.003466
99,1.3615,0.79653,0.88585,0.75149,0.74085,0.77059,0.35252,1.7375,0.95961,0.97586,0.003532,0.003532,0.003532
98,1.3797,0.79004,0.89611,0.79201,0.72942,0.76988,0.35404,1.727,0.99131,0.96967,0.003598,0.003598,0.003598
97,1.388,0.79782,0.88641,0.76281,0.72958,0.76848,0.35698,1.7619,1.04,0.97266,0.003664,0.003664,0.003664
96,1.3925,0.79935,0.89726,0.76407,0.77542,0.7683,0.34577,1.8206,1.0148,0.98471,0.00373,0.00373,0.00373
95,1.4122,0.82113,0.8974,0.7416,0.7357,0.76414,0.34903,1.7371,1.0062,0.97719,0.003796,0.003796,0.003796
94,1.4027,0.8249,0.89691,0.73479,0.70704,0.76237,0.33338,1.8306,1.0375,0.99086,0.003862,0.003862,0.003862
93,1.4071,0.83277,0.89703,0.7332,0.71831,0.75472,0.32988,1.8155,1.0376,0.98955,0.003928,0.003928,0.003928
92,1.4385,0.82868,0.9134,0.75011,0.74409,0.75431,0.3497,1.7572,1.0198,0.97945,0.003994,0.003994,0.003994
91,1.4273,0.82513,0.90805,0.76545,0.71707,0.75305,0.34831,1.7478,1.0076,0.97693,0.00406,0.00406,0.00406
90,1.4366,0.84969,0.90016,0.76566,0.73803,0.75253,0.34594,1.7786,1.0357,0.9946,0.004126,0.004126,0.004126
89,1.4461,0.86457,0.90351,0.77156,0.70704,0.74765,0.33639,1.7946,1.0973,0.98303,0.004192,0.004192,0.004192
88,1.453,0.85648,0.91981,0.781,0.69859,0.74587,0.35134,1.7294,1.0167,0.9814,0.004258,0.004258,0.004258
87,1.4828,0.85889,0.91795,0.75275,0.74613,0.74177,0.34683,1.7535,1.0635,0.97083,0.004324,0.004324,0.004324
86,1.4744,0.86325,0.91143,0.71008,0.7493,0.74114,0.33916,1.8161,1.0857,0.98093,0.00439,0.00439,0.00439
85,1.489,0.88434,0.91332,0.77239,0.71268,0.73801,0.32852,1.8198,1.1015,0.99921,0.004456,0.004456,0.004456
84,1.5079,0.88154,0.92406,0.80085,0.70234,0.73655,0.34354,1.7094,1.064,0.96682,0.004522,0.004522,0.004522
83,1.5229,0.91415,0.91873,0.78459,0.67887,0.7354,0.33693,1.7545,1.0865,0.98176,0.004588,0.004588,0.004588
82,1.5198,0.891,0.91541,0.75515,0.74085,0.73412,0.34022,1.7767,1.0919,0.98211,0.004654,0.004654,0.004654
81,1.5093,0.88994,0.91923,0.79269,0.71088,0.73066,0.33507,1.7606,1.0919,0.98206,0.00472,0.00472,0.00472
80,1.5051,0.8952,0.92632,0.70035,0.70423,0.72034,0.32093,1.7607,1.0871,0.97763,0.004786,0.004786,0.004786
79,1.5209,0.90471,0.92928,0.72803,0.70986,0.71977,0.32743,1.7419,1.1248,0.98134,0.004852,0.004852,0.004852
78,1.5356,0.91435,0.93384,0.75326,0.65915,0.7179,0.31489,1.803,1.0778,0.99201,0.004918,0.004918,0.004918
77,1.5124,0.91059,0.92449,0.74489,0.70735,0.7153,0.33227,1.7506,1.1092,0.98149,0.004984,0.004984,0.004984
76,1.5504,0.91546,0.9173,0.69286,0.71806,0.71452,0.30695,1.848,1.1308,0.99368,0.00505,0.00505,0.00505
75,1.5747,0.95372,0.93218,0.74453,0.71423,0.71431,0.32199,1.7957,1.0825,0.99048,0.005116,0.005116,0.005116
74,1.5691,0.92554,0.93771,0.7367,0.70704,0.71161,0.32409,1.8393,1.1393,0.98277,0.005182,0.005182,0.005182
73,1.5791,0.92752,0.92958,0.74561,0.71549,0.7093,0.31749,1.826,1.085,0.99834,0.005248,0.005248,0.005248
72,1.5853,0.95083,0.93493,0.76124,0.72113,0.70625,0.29955,1.8597,1.1543,1.0102,0.005314,0.005314,0.005314
71,1.5983,0.96661,0.93421,0.74076,0.69296,0.70423,0.29643,1.8318,1.1805,0.99538,0.00538,0.00538,0.00538
70,1.6363,0.98276,0.9473,0.72501,0.69014,0.70371,0.31012,1.8232,1.1254,0.99782,0.005446,0.005446,0.005446
69,1.6079,0.96712,0.95198,0.7427,0.69296,0.70294,0.30932,1.8268,1.1341,0.99031,0.005512,0.005512,0.005512
68,1.5941,0.9617,0.94164,0.74412,0.68169,0.70164,0.3051,1.8217,1.1182,0.99689,0.005578,0.005578,0.005578
67,1.6502,1.0023,0.94811,0.72865,0.68732,0.69774,0.30692,1.8434,1.1746,1.0065,0.005644,0.005644,0.005644
66,1.6528,0.99164,0.95689,0.73065,0.67042,0.69714,0.29682,1.8531,1.133,0.99901,0.00571,0.00571,0.00571
65,1.6614,1.0159,0.95924,0.72674,0.65352,0.6943,0.30285,1.827,1.2337,0.99707,0.005776,0.005776,0.005776
64,1.667,1.0072,0.95433,0.73727,0.65915,0.68975,0.29559,1.783,1.1795,0.98905,0.005842,0.005842,0.005842
63,1.6478,1.0017,0.96163,0.74084,0.70986,0.6876,0.31266,1.7979,1.1371,0.99529,0.005908,0.005908,0.005908
62,1.692,1.0313,0.95543,0.70307,0.72703,0.68547,0.30451,1.8441,1.1633,1.0019,0.005974,0.005974,0.005974
61,1.6962,1.0373,0.96383,0.72633,0.68451,0.68269,0.29157,1.8474,1.1859,0.99942,0.00604,0.00604,0.00604
60,1.6763,1.0091,0.95516,0.76382,0.69859,0.67872,0.29584,1.7665,1.108,0.99537,0.006106,0.006106,0.006106
59,1.7035,1.0515,0.9707,0.69811,0.69859,0.67633,0.29314,1.7882,1.1257,0.98825,0.006172,0.006172,0.006172
58,1.7206,1.0368,0.9639,0.73051,0.64789,0.67094,0.28274,1.8227,1.1939,1.0032,0.006238,0.006238,0.006238
57,1.7489,1.0781,0.98517,0.72403,0.65352,0.66748,0.27082,1.7946,1.1857,0.99185,0.006304,0.006304,0.006304
56,1.7303,1.0387,0.98231,0.73762,0.62254,0.66647,0.26774,1.8566,1.21,1.0095,0.00637,0.00637,0.00637
55,1.7649,1.08,0.98052,0.72131,0.62254,0.66405,0.284,1.8359,1.2178,1.01,0.006436,0.006436,0.006436
54,1.7692,1.0851,0.98334,0.69346,0.70986,0.66086,0.27854,1.8168,1.1755,1.0016,0.006502,0.006502,0.006502
53,1.7624,1.0871,0.98777,0.74289,0.62535,0.65588,0.29232,1.7942,1.2079,0.99976,0.006568,0.006568,0.006568
52,1.7947,1.0998,0.98078,0.65792,0.60845,0.64169,0.27132,1.8317,1.2493,1.0192,0.006634,0.006634,0.006634
51,1.7928,1.1327,0.9977,0.67399,0.6,0.64083,0.25731,1.9146,1.3066,1.0302,0.0067,0.0067,0.0067
50,1.797,1.1179,1.0063,0.62637,0.62254,0.63092,0.24532,1.8702,1.2441,1.0277,0.006766,0.006766,0.006766
49,1.8679,1.174,0.99946,0.64612,0.6338,0.61889,0.25903,1.9051,1.2832,1.0433,0.006832,0.006832,0.006832
48,1.8101,1.1405,1.0096,0.63623,0.61127,0.61887,0.26021,1.9046,1.2948,1.0368,0.006898,0.006898,0.006898
47,1.8314,1.1482,1.0042,0.69396,0.5493,0.61457,0.25473,1.8545,1.2866,1.0272,0.006964,0.006964,0.006964
46,1.8265,1.1544,1.016,0.67284,0.54366,0.59463,0.23627,1.8902,1.2793,1.0266,0.00703,0.00703,0.00703
45,1.8725,1.1726,1.0151,0.70096,0.56338,0.59124,0.24091,1.8711,1.2911,1.0204,0.007096,0.007096,0.007096
44,1.8618,1.162,1.0302,0.67686,0.51831,0.57601,0.22365,1.9207,1.392,1.0364,0.007162,0.007162,0.007162
43,1.9266,1.233,1.0205,0.57535,0.52113,0.56347,0.21475,1.8737,1.3356,1.0365,0.007228,0.007228,0.007228
42,1.9142,1.2148,1.0252,0.63157,0.53239,0.54571,0.22625,1.9863,1.3384,1.045,0.007294,0.007294,0.007294
41,1.9069,1.2492,1.0421,0.54178,0.55288,0.54507,0.20848,1.9533,1.3977,1.0417,0.00736,0.00736,0.00736
40,1.9095,1.2692,1.0279,0.6173,0.48617,0.52116,0.19033,2.0506,1.4153,1.0669,0.007426,0.007426,0.007426
39,1.9296,1.2469,1.0254,0.51234,0.49577,0.513,0.19584,1.9599,1.4761,1.0475,0.007492,0.007492,0.007492
38,1.9297,1.2813,1.0286,0.59428,0.458,0.51155,0.20337,2.0215,1.4057,1.0618,0.007558,0.007558,0.007558
37,2.0018,1.326,1.0588,0.52259,0.47794,0.47266,0.1751,2.0338,1.4766,1.0637,0.007624,0.007624,0.007624
36,1.9651,1.3055,1.0495,0.5402,0.50965,0.46702,0.20388,1.9988,1.4522,1.0583,0.00769,0.00769,0.00769
35,2.0028,1.3257,1.0616,0.50721,0.46479,0.46259,0.18779,1.9186,1.4984,1.0408,0.007756,0.007756,0.007756
34,2.0076,1.3316,1.0643,0.46272,0.48169,0.46011,0.17891,2.0114,1.4292,1.0735,0.007822,0.007822,0.007822
33,2.0135,1.3555,1.0579,0.46961,0.51549,0.45567,0.18006,2.0011,1.5084,1.0739,0.007888,0.007888,0.007888
32,2.0591,1.3715,1.061,0.46113,0.51268,0.45521,0.17436,2.0716,1.5198,1.0825,0.007954,0.007954,0.007954
31,2.0381,1.3586,1.0557,0.42722,0.47042,0.45237,0.16168,2.0017,1.57,1.0714,0.00802,0.00802,0.00802
30,2.0357,1.3742,1.0555,0.44999,0.45915,0.44097,0.16606,2.1006,1.5459,1.0911,0.008086,0.008086,0.008086
29,2.0519,1.3774,1.0675,0.45126,0.49014,0.43665,0.17163,2.0212,1.5223,1.0722,0.008152,0.008152,0.008152
28,2.0688,1.435,1.0624,0.41639,0.51831,0.42412,0.16248,1.9775,1.5652,1.0586,0.008218,0.008218,0.008218
27,2.0867,1.4478,1.0615,0.50006,0.43944,0.42103,0.16689,2.0388,1.5203,1.0729,0.008284,0.008284,0.008284
26,2.0558,1.3924,1.096,0.44254,0.42254,0.42093,0.15889,2.0353,1.5409,1.0803,0.00835,0.00835,0.00835
25,2.108,1.4564,1.0737,0.44577,0.47042,0.42018,0.15712,2.0431,1.5059,1.0802,0.008416,0.008416,0.008416
24,2.1172,1.4856,1.0946,0.39738,0.51831,0.41831,0.157,2.0115,1.5257,1.0734,0.008482,0.008482,0.008482
23,2.142,1.4807,1.0956,0.4404,0.44789,0.41697,0.16489,1.9914,1.5706,1.0729,0.008548,0.008548,0.008548
22,2.1105,1.503,1.0949,0.44832,0.46479,0.41278,0.16541,2.022,1.5693,1.0853,0.008614,0.008614,0.008614
21,2.1445,1.4446,1.0928,0.40196,0.48732,0.41128,0.15446,2.0803,1.5484,1.0921,0.00868,0.00868,0.00868
20,2.1517,1.5322,1.0999,0.46471,0.43099,0.41062,0.15604,2.0927,1.6021,1.0839,0.008746,0.008746,0.008746
19,2.1815,1.5551,1.1085,0.42349,0.45316,0.4068,0.17592,2.0065,1.6076,1.0818,0.008812,0.008812,0.008812
18,2.182,1.5327,1.1131,0.4376,0.42535,0.40578,0.16015,2.0744,1.5915,1.0916,0.008878,0.008878,0.008878
17,2.2109,1.5338,1.1156,0.47491,0.43662,0.40238,0.14363,2.1185,1.5596,1.0975,0.008944,0.008944,0.008944
16,2.2607,1.5938,1.1313,0.40273,0.4338,0.38074,0.12304,2.2146,1.6208,1.1219,0.00901,0.00901,0.00901
15,2.2308,1.591,1.1417,0.393,0.43944,0.37638,0.13287,2.1115,1.5877,1.102,0.009076,0.009076,0.009076
14,2.2647,1.6373,1.121,0.40197,0.40845,0.35788,0.12381,2.2158,1.6936,1.114,0.009142,0.009142,0.009142
13,2.2615,1.662,1.1391,0.38571,0.39265,0.35572,0.14003,2.1103,1.699,1.1102,0.009208,0.009208,0.009208
12,2.3114,1.6859,1.1282,0.37086,0.4,0.34816,0.11632,2.2534,1.7652,1.1467,0.009274,0.009274,0.009274
11,2.3094,1.7339,1.1359,0.44561,0.44225,0.34745,0.13896,2.1108,1.6693,1.1107,0.00934,0.00934,0.00934
10,2.353,1.7252,1.1454,0.39139,0.38873,0.31935,0.12833,2.1644,1.6745,1.1245,0.009406,0.009406,0.009406
9,2.3648,1.7172,1.163,0.41892,0.36148,0.31898,0.11808,2.3311,1.7797,1.1659,0.009472,0.009472,0.009472
8,2.4526,1.8755,1.1799,0.32656,0.30704,0.31023,0.07661,2.3363,2.079,1.1827,0.009538,0.009538,0.009538
7,2.4961,1.8261,1.1891,0.41269,0.31268,0.2593,0.11801,2.3107,1.9115,1.1568,0.009604,0.009604,0.009604
6,2.6004,2.004,1.207,0.38799,0.27042,0.23868,0.07818,2.4442,1.8004,1.2215,0.00967,0.00967,0.00967
5,2.5742,2.0166,1.233,0.3055,0.25634,0.22678,0.07141,2.5766,1.9602,1.2595,0.009736,0.009736,0.009736
4,2.6502,1.9968,1.2502,0.30701,0.29296,0.22223,0.08546,2.4692,2.1037,1.2435,0.009802,0.009802,0.009802
3,2.7222,2.1961,1.2406,0.31263,0.2507,0.21467,0.05917,2.6067,2.0286,1.2506,0.009802,0.009802,0.009802
2,2.7332,2.2611,1.2439,0.36354,0.23944,0.19358,0.06259,2.6357,2.7459,1.2478,0.010038,0.0098494,0.0098494
1,2.7399,2.2972,1.2166,0.24808,0.2507,0.17037,0.03752,2.6774,2.3705,1.2285,0.040126,0.006604,0.006604
0,3.0364,8.8495,1.3931,0.31474,0.23547,0.15204,0.04699,2.6967,2.0763,1.2826,0.070169,0.0033145,0.0033145
